CALC,Jan15I,Feb15R,Feb15I,Mar15R,Mar15I,Jan16R,Joey16,Feb16R,Feb16I,Mar16R,Mar16I,Jan17R,Jan17I,Feb17R,Feb17I,Mar17R,Mar17I,Jan18R,Jan18I,Feb18R,Feb18I,Mar18R,Mar18I,Jan19R,Jan19I,Feb19R,Feb19I,Mar19R,Mar19I,Jan20R,Jan20I,Feb20R,Feb20I,Mar20R,Jan22R,Jan22I,Feb22R,Feb22I,Mar22R,Jan23R,Feb23R,Feb23I,Mar23R,Mar23i,Jan24R,Jan24I,Feb24R,Feb24I,Mar24R,Jan25R,Jan25I,Feb25R,Feb25I,Mar25R,Mar25I
b,c,d,a,b,c,b,c,a,b,c,d,b,a,b,d,c,b,c,*,b,b,c,b,c,b,c,c,b,b,c,a,d,b,b,d,b,b,d,e,d,c,c,c,d,c,,c,c,d,b,d,c,d,d,c
e,a,b,d,c,d,a,d,d,b,d,e,b,c,c,d,b,d,e,b,d,d,c,e,e,c,a,d,b/e,e,e,e,e,d,e,d,a,a,c,d,d,c,a,d,c,a,,e,b,d,d,b,d,d,e,a
b,d,c,c,c,b,e,e,c,d,a,b,c,c,c,c,b,a,e,b,b,b,b,b,a,c,e,c,c,b,d,b,b,c,c,a,e,e,d,b,b,b,c,d,c,d,,a,d,b,a,a,c,a,c,d
c,b,b,a,a,a,b,a,e,b,e,c,d,d,a,b,d,a,b,d,a,a,c,e,d,c,*,a,d,c,c,c,d,a,e,a,c,d,a,c,b,b,a,c,d,c,,b,a,d,d,d,c,c,b,d
a,d,c,e,a,c,e,e,c,d,c,c,c,c,d,a,b,c,a,d,b,a,e,d,c,a,b,ac,a,d,b,a,a,b,b,b,c,d,c,a,c,a,b,d,e,c,,c,b,c,c,b,d,e,b,c
d,b,a,d,a,a,c,a,b,d,b,b,b,a,e,b,d,d,a,c,a,b,a,a,d,b,c,c,a,c,a,d,b,c/d,d,c,e,a,b,e,b,d,d,a,b,a,,d,b,e,e,c,b,a,d,d
b,a,a,*,e,b,c,c,d,b,d,e,c,a,c,c/e,b,c,b,a,d,d,b,b,a/e,c,b,e,* (ans),d,b/e,c,e,d/e,e,b,a,a,a,b,d,d,c,a,b,a,,b,d,b,b,b,a,b,e,a
a,a,c,a,d,d,e,a,c,c,b,c,b,b,a,a,e,c,a,e,c,c,c,c,a,d/e,*,e,* (ans),*,d,c,d,c,a,b,b,a,e,e,a,e,e,a,a,d,,d,a,c,a,b,b,c,c,d
b,b,d,c,c,c,b,d,d,a,c,b,d,c,e,b,c,d,d,e,b,d,d,e,b,d/e,a,d,d,d,d,a,b,c,a,b,a,c,b,c,c,c,c,b,a,b,,a,c,a,c/e,e,b,b,b,a
d,a,d,d,d,a,c,a,b,d,b,d,c,e,d,b,a,a,c,a,b,a,c,c,e,a,d,e,e,c,e,b,c,x,b,e,e,d,d,c,c,c,a,a,b,a,,c,c,d,d,b,a,d,b,b
b,b,e,e,e,c,d,a,e,a,b,a,a,b,e,b,c,a,e,c,d,c,d,b,c,b,b/c/e,b,c,b,c,d,b,a,e,c,b,d,b,b,c,b,a,a,a,c,,a,e,b,c,e,d,d,a,e
