Ind16,2017,2018,2019,2021,2022,2023,2024,2025,Prob16,2017,2018,2019,2021,2022,2023,2024,2025,Unplug24,2025
b,c,c,c,d,d,e,b,d,d,b,d,b,b,c,d,d,b,c,e
c,b,b,b,a,b,b,e,a,b,b,c,d,a,b,d,c,c,a,b
d,a,b,d,a,d,c,d,b,e,e,c,d,a,d,c,a,a,d,b
a,e,d,c,b,a,d,d,c,a,b,b,c,b,a,b,d,d,c,c
e,d,c,c,e,d,a,c,a,c,e,e,a,b,c,d,d,b,e,b
d,a,e,d,b,d,b,a,d,d,c,a,d,d,a,d,e,a,b,c
e,c,a,c,c,a,b,b,b,c,b,b,b,b,e,c,d,d,c,a
b,d,b,d,e,d,b,b,e,a,d,d,b,a,b,b,b,c,e,d
d,c,e,d,b,d,d,c,a,b,d,e,a,a,b,c,a,a,d,e
e,b,d,c,a,a,e,a,c,d,b,a,c,d,c,b,d,c,a,a
b,d,c,b,b,a,a,d,e,a,b,c,a,d,b,d,b,b,d,c
c,c,a,a,b,d,e,a,b,d,c,b,d,c,a,a,a,d,c,d
a,e,d,a,b,b,c,c,d,b,e,c,d,c,d,c,d,a,b,b
c,b,a,a,a,a,b,b,b,d,c,c,a,c,d,d,c,b,a/b,a
d,c,b,a,a,c,d,b,d,a,a,d,d,b,d,a,b,c,d,c
d,a,c,a,c,d,a,d,a,a,c,a,c,c,a,c,e,c,b,b
b,c,a,d,a,b,c,a,c,d,c,d,b,a,d,a,b,a,d,b
b,b,a,b,c,c,a,c,c,b,d,b,a,b,b,a,b,d,a,a
a,c,d,c,a,c,d,b,a,d,b,b,a,d,c,b,b,c,d,c
c,d,a,d,c,a,c,d,b,a,d,b,b,c,b,a,e,a,c,e
d,c,b,a,c,c,d,d,d,e,d,b,c,b,a,a,a,b,d,c
e,a,b,c,e,c,a,a,b,e,a,a,d,c,b,d,c,c,a,b
c,b,d,b,b,a,b,a,c,b,c,c,d,c,d,d,e,a,a,b
c,d,d,b,a,e,a,c,d,c,d,d,c,c,b,a,d,d,b,d
c,a,c,c,a,c,c,e,d,a,d,e,b,a,c,b,a,b,c,d
d,b,b,a,b,b,c,d,d,b,b,d,a,d,a,d,c,c,b,a
d,c,c,a,d,b,d,b,a,c,a,a,e,d,c,d,b,e,d,c
d,d,b,d,a,c,a,c,c,d,d,b,d,d,b,b,c,a,c,d
a,d,c,d,b,a,b,d,a,c,c,a,b,b,c,e,a,b,b,a
d,c,d,c,a,d,b,e,b,d,a,b,d,c,a,c,c,d,a,a
